Территория;Тип;Субъект РФ;Частично;ОКТМО;Административный центр;Крупнейшая национальность, 2010 г.;Вторая национальность, 2010 г.;Площадь территории, км?;Численность населения, 2010 г., человек;Численность населения, 2021 г., человек;Изменение численности населения, 2010-2021 гг., %;Плотность населения, 2010 г.;Плотность населения, 2021 г.;Численность мужчин, 2010 г., человек;Численность мужчин, 2021 г., человек;Доля мужчин, 2010 г., %;Доля мужчин, 2021 г., %;Изменение доли мужчин, 2010-2021 гг., пп.;Численность женщин, 2010 г., человек;Численность женщин, 2021 г., человек;Доля женщин, 2010 г., %;Доля женщин, 2021 г., %;Изменение доли женщин, 2010-2021 гг., пп.;Численность городского населения, 2010 г., человек;Численность городского населения, 2021 г., человек;Численность сельского населения, 2010 г., человек;Численность сельского населения, 2021 г., человек;Степень урбанизации, 2010 г., %;Степень урбанизации, 2021 г., %;Изменение степени урбанизации, 2010-2021 гг., пп.;Ранг 1;Ранг 2;Ранг 3;Ранг 4;Ранг 5;Ранг 6;Ранг 7;Ранг 8;Ранг 9;Ранг 10;Ранг 11;Ранг 12;Ранг 13;Ранг 14;Ранг 15;Ранг 16;Ранг 17;Ранг 18;Ранг 19;Ранг 20;Ранг 21;Ранг 22;Ранг 23;;;
ГО Провидения;городской округ;Чукотский АО;;77620000;пгт Провидения;чукчи;эскимосы;27286;3923;3707;-5,5;0,14;0,14;1967;1823;50,1;49,2;-1,0;1956;1884;49,9;50,8;1,0;1970;2140;1953;1567;50,2;57,7;7,5;40 из 75;70 из 75;70 из 75;18 из 75;50 из 75;50 из 75;70 из 75;69 из 75;17 из 75;21 из 75;54 из 75;70 из 75;70 из 75;59 из 75;55 из 75;22 из 75;61 из 75;54 из 75;51 из 75;50 из 75;55 из 75;48 из 75;3 из 75;;;
ГО Эгвекинот;городской округ;Чукотский АО;;77615000;пгт Эгвекинот;русские;чукчи;136644;5798;4835;-16,6;0,04;0,04;2947;2433;50,8;50,3;-0,5;2851;2402;49,2;49,7;0,5;3282;3150;2516;1685;56,6;65,1;8,5;13 из 75;60 из 75;60 из 75;41 из 75;67 из 75;67 из 75;60 из 75;60 из 75;15 из 75;11 из 75;44 из 75;60 из 75;61 из 75;61 из 75;65 из 75;32 из 75;54 из 75;49 из 75;44 из 75;47 из 75;49 из 75;45 из 75;2 из 75;;;
МР Анадырский;муниципальный район;Чукотский АО;;77603000;г. Анадырь;русские;чукчи;287508;9436;8161;-13,5;0,03;0,03;4844;4176;51,3;51,2;-0,2;4592;3985;48,7;48,8;0,2;4769;4336;4667;3825;50,5;53,1;2,6;3 из 75;50 из 75;48 из 75;35 из 75;70 из 75;72 из 75;50 из 75;48 из 75;11 из 75;7 из 75;29 из 75;50 из 75;49 из 75;65 из 75;69 из 75;47 из 75;49 из 75;42 из 75;28 из 75;30 из 75;54 из 75;51 из 75;14 из 75;;;
МР Билибинский;муниципальный район;Чукотский АО;;77609000;г. Билибино;русские;чукчи;174652;7866;7418;-5,7;0,05;0,04;3922;3680;49,9;49,6;-0,3;3944;3738;50,1;50,4;0,3;5506;5546;2360;1872;70,0;74,8;4,8;7 из 75;57 из 75;52 из 75;19 из 75;65 из 75;65 из 75;53 из 75;51 из 75;21 из 75;17 из 75;33 из 75;57 из 75;51 из 75;55 из 75;59 из 75;43 из 75;47 из 75;40 из 75;48 из 75;46 из 75;39 из 75;39 из 75;7 из 75;;;
МР Чукотский;муниципальный район;Чукотский АО;;77633000;с. Лаврентия;чукчи;эскимосы;30247;4838;4995;3,2;0,16;0,17;2375;2397;49,1;48,0;-1,1;2463;2598;50,9;52,0;1,1;0;0;4838;4995;0,0;0,0;0,0;36 из 75;63 из 75;59 из 75;8 из 75;49 из 75;48 из 75;63 из 75;61 из 75;31 из 75;45 из 75;60 из 75;62 из 75;59 из 75;45 из 75;31 из 75;16 из 75;62 из 75;59 из 75;26 из 75;23 из 75;62 из 75;59 из 75;35 из 75;;;
Красноярский край;субъект РФ;;Входит в АЗРФ частично.;4000000;г. Красноярск;русские;украинцы;1591318;237421;224874;-5,3;0,15;0,14;117599;111159;49,5;49,4;-0,1;119822;113715;50,5;50,6;0,1;211835;198746;25586;26128;89,2;88,4;-0,8;1 из 9;4 из 9;4 из 9;3 из 9;7 из 9;7 из 9;4 из 9;4 из 9;3 из 9;2 из 9;1 из 9;4 из 9;4 из 9;7 из 9;8 из 9;9 из 9;4 из 9;4 из 9;5 из 9;5 из 9;2 из 9;2 из 9;7 из 9;;;
ГО Норильск;городской округ;Красноярский край;;4729000;г. Норильск;русские;украинцы;4509;176252;175237;-0,6;39,09;38,86;88007;87178;49,9;49,7;-0,2;88245;88059;50,1;50,3;0,2;176252;175237;0;0;100,0;100,0;0,0;51 из 75;4 из 75;3 из 75;13 из 75;17 из 75;17 из 75;4 из 75;3 из 75;20 из 75;16 из 75;31 из 75;4 из 75;3 из 75;56 из 75;60 из 75;45 из 75;4 из 75;3 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
МР Таймырский Долгано-Ненецкий;муниципальный район;Красноярский край;;4653000;г. Дудинка;русские;долганы;879900;34432;30154;-12,4;0,04;0,03;16576;14646;48,1;48,6;0,4;17856;15508;51,9;51,4;-0,4;22851;19875;11581;10279;66,4;65,9;-0,5;1 из 75;23 из 75;23 из 75;31 из 75;69 из 75;69 из 75;23 из 75;24 из 75;47 из 75;33 из 75;11 из 75;23 из 75;21 из 75;29 из 75;43 из 75;65 из 75;29 из 75;29 из 75;7 из 75;8 из 75;43 из 75;44 из 75;61 из 75;;;
МР Туруханский;муниципальный район;Красноярский край;;4654000;с. Туруханск;русские;кеты;209309;18708;12808;-31,5;0,09;0,06;9111;6100;48,7;47,6;-1,1;9597;6708;51,3;52,4;1,1;7197;3634;11511;9174;38,5;28,4;-10,1;5 из 75;36 из 75;41 из 75;71 из 75;55 из 75;57 из 75;35 из 75;39 из 75;38 из 75;50 из 75;59 из 75;37 из 75;41 из 75;38 из 75;26 из 75;17 из 75;39 из 75;46 из 75;8 из 75;10 из 75;60 из 75;58 из 75;71 из 75;;;
МР Эвенкийский;муниципальный район;Красноярский край;Входит в АЗРФ частично.;4650000;пос. Тура;русские;эвенки;497600;8029;6675;-16,9;0,02;0,01;3905;3235;48,6;48,5;-0,2;4124;3440;51,4;51,5;0,2;5535;0;2494;6675;68,9;0,0;-68,9;2 из 75;54 из 75;55 из 75;43 из 75;74 из 75;75 из 75;55 из 75;55 из 75;39 из 75;34 из 75;30 из 75;54 из 75;54 из 75;37 из 75;42 из 75;46 из 75;45 из 75;59 из 75;45 из 75;16 из 75;40 из 75;59 из 75;75 из 75;;;
Республика Саха (Якутия);субъект РФ;;Входит в АЗРФ частично.;98000000;г. Якутск;якуты;русские;1451611;73927;64207;-13,1;0,05;0,04;36306;31465;49,1;49,0;-0,1;37621;32742;50,9;51,0;0,1;29499;24454;44428;39753;39,9;38,1;-1,8;2 из 9;7 из 9;7 из 9;5 из 9;9 из 9;9 из 9;7 из 9;7 из 9;4 из 9;3 из 9;2 из 9;7 из 9;7 из 9;6 из 9;7 из 9;8 из 9;8 из 9;9 из 9;4 из 9;4 из 9;9 из 9;9 из 9;9 из 9;;;
МР Абыйский;муниципальный район;Республика Саха (Якутия);;98601000;пгт Белая Гора;якуты;русские;69435;4425;3838;-13,3;0,06;0,06;2119;1842;47,9;48,0;0,1;2306;1996;52,1;52,0;-0,1;2245;1927;2180;1911;50,7;50,2;-0,5;23 из 75;67 из 75;67 из 75;33 из 75;59 из 75;61 из 75;67 из 75;68 из 75;51 из 75;44 из 75;17 из 75;66 из 75;67 из 75;25 из 75;32 из 75;59 из 75;58 из 75;56 из 75;49 из 75;45 из 75;53 из 75;53 из 75;62 из 75;;;
МР Аллаиховский;муниципальный район;Республика Саха (Якутия);;98606000;пгт Чокурдах;якуты;русские;107338;3050;2379;-22,0;0,03;0,02;1461;1169;47,9;49,1;1,2;1589;1210;52,1;50,9;-1,2;2367;1869;683;510;77,6;78,6;1,0;18 из 75;72 из 75;73 из 75;54 из 75;73 из 75;73 из 75;73 из 75;74 из 75;50 из 75;22 из 75;4 из 75;72 из 75;73 из 75;26 из 75;54 из 75;72 из 75;57 из 75;57 из 75;58 из 75;59 из 75;34 из 75;34 из 75;22 из 75;;;
МР Анабарский (долгано-эвенкийский);муниципальный район;Республика Саха (Якутия);;98610000;с. Саскылах;долганы;эвенки;55558;3501;3479;-0,6;0,06;0,06;1698;1652;48,5;47,5;-1,0;1803;1827;51,5;52,5;1,0;0;0;3501;3479;0,0;0,0;0,0;27 из 75;71 из 75;71 из 75;14 из 75;61 из 75;56 из 75;72 из 75;72 из 75;40 из 75;51 из 75;56 из 75;71 из 75;71 из 75;36 из 75;25 из 75;20 из 75;62 из 75;59 из 75;37 из 75;34 из 75;62 из 75;59 из 75;35 из 75;;;
МР Булунский;муниципальный район;Республика Саха (Якутия);;98612000;пгт Тикси;русские;эвенки;223583;9054;7706;-14,9;0,04;0,03;4690;4162;51,8;54,0;2,2;4364;3544;48,2;46,0;-2,2;5063;4173;3991;3533;55,9;54,2;-1,8;4 из 75;51 из 75;50 из 75;38 из 75;68 из 75;68 из 75;51 из 75;49 из 75;9 из 75;2 из 75;1 из 75;52 из 75;52 из 75;67 из 75;74 из 75;75 из 75;48 из 75;43 из 75;34 из 75;33 из 75;50 из 75;50 из 75;68 из 75;;;
МР Верхнеколымский ;муниципальный район;Республика Саха (Якутия);;98615000;пгт Зырянка;русские;якуты;67774;4723;3803;-19,5;0,07;0,06;2327;1843;49,3;48,5;-0,8;2396;1960;50,7;51,5;0,8;3170;2521;1553;1282;67,1;66,3;-0,8;24 из 75;64 из 75;68 из 75;50 из 75;57 из 75;59 из 75;64 из 75;67 из 75;30 из 75;35 из 75;52 из 75;65 из 75;68 из 75;46 из 75;41 из 75;24 из 75;55 из 75;53 из 75;54 из 75;52 из 75;42 из 75;43 из 75;65 из 75;;;
МР Верхоянский;муниципальный район;Республика Саха (Якутия);;98616000;пгт Батагай;якуты;русские;137428;12815;10037;-21,7;0,09;0,07;6278;4811;49,0;47,9;-1,1;6537;5226;51,0;52,1;1,1;5919;4734;6896;5303;46,2;47,2;1,0;12 из 75;45 из 75;44 из 75;52 из 75;54 из 75;54 из 75;45 из 75;44 из 75;34 из 75;46 из 75;57 из 75;45 из 75;44 из 75;42 из 75;30 из 75;19 из 75;44 из 75;41 из 75;21 из 75;21 из 75;56 из 75;54 из 75;21 из 75;;;
МР Жиганский;муниципальный район;Республика Саха (Якутия);;98622000;с. Жиганск;эвенки;якуты;140222;4296;4177;-2,8;0,03;0,03;2080;2002;48,4;47,9;-0,5;2216;2175;51,6;52,1;0,5;0;0;4296;4177;0,0;0,0;0,0;11 из 75;68 из 75;66 из 75;16 из 75;71 из 75;70 из 75;68 из 75;66 из 75;41 из 75;47 из 75;42 из 75;68 из 75;65 из 75;35 из 75;29 из 75;34 из 75;62 из 75;59 из 75;31 из 75;28 из 75;62 из 75;59 из 75;35 из 75;;;
МР Момский;муниципальный район;Республика Саха (Якутия);;98633000;с. Хонуу;якуты;эвены;104627;4452;3733;-16,2;0,04;0,04;2147;1788;48,2;47,9;-0,3;2305;1945;51,8;52,1;0,3;0;0;4452;3733;0,0;0,0;0,0;20 из 75;66 из 75;69 из 75;40 из 75;66 из 75;66 из 75;66 из 75;70 из 75;44 из 75;48 из 75;36 из 75;67 из 75;69 из 75;32 из 75;28 из 75;40 из 75;62 из 75;59 из 75;29 из 75;31 из 75;62 из 75;59 из 75;35 из 75;;;
МР Нижнеколымский;муниципальный район;Республика Саха (Якутия);;98637000;пгт Черский;русские;якуты;87118;4664;4214;-9,6;0,05;0,05;2231;2034;47,8;48,3;0,4;2433;2180;52,2;51,7;-0,4;2857;2623;1807;1591;61,3;62,2;1,0;21 из 75;65 из 75;65 из 75;26 из 75;64 из 75;64 из 75;65 из 75;65 из 75;52 из 75;40 из 75;10 из 75;63 из 75;64 из 75;24 из 75;36 из 75;66 из 75;56 из 75;52 из 75;52 из 75;49 из 75;45 из 75;46 из 75;20 из 75;;;
МР Оленекский;муниципальный район;Республика Саха (Якутия);;98642000;с. Оленек;эвенки;якуты;160792;4127;4313;4,5;0,01;0,01;2037;2102;49,4;48,7;-0,6;2090;2211;50,6;51,3;0,6;0;0;4127;4313;0,0;0,0;0,0;9 из 75;69 из 75;64 из 75;7 из 75;75 из 75;74 из 75;69 из 75;64 из 75;27 из 75;29 из 75;49 из 75;69 из 75;63 из 75;49 из 75;47 из 75;27 из 75;62 из 75;59 из 75;33 из 75;27 из 75;62 из 75;59 из 75;35 из 75;;;
МР Среднеколымский;муниципальный район;Республика Саха (Якутия);;98646000;г. Среднеколымск;якуты;русские;125161;7897;6805;-13,8;0,06;0,05;3817;3287;48,3;48,3;0,0;4080;3518;51,7;51,7;0,0;3525;3131;4372;3674;44,6;46,0;1,4;14 из 75;56 из 75;54 из 75;36 из 75;60 из 75;62 из 75;56 из 75;54 из 75;43 из 75;38 из 75;20 из 75;55 из 75;53 из 75;33 из 75;38 из 75;56 из 75;53 из 75;50 из 75;30 из 75;32 из 75;57 из 75;55 из 75;17 из 75;;;
МР Усть-Янский;муниципальный район;Республика Саха (Якутия);;98656000;пгт Депутатский;якуты;русские;120278;8056;6810;-15,5;0,07;0,06;4039;3373;50,1;49,5;-0,6;4017;3437;49,9;50,5;0,6;4353;3476;3703;3334;54,0;51,0;-3,0;15 из 75;53 из 75;53 из 75;39 из 75;58 из 75;58 из 75;52 из 75;53 из 75;18 из 75;18 из 75;47 из 75;56 из 75;55 из 75;58 из 75;58 из 75;29 из 75;51 из 75;48 из 75;36 из 75;35 из 75;52 из 75;52 из 75;69 из 75;;;
МР Эвено-Бытантайский;муниципальный район;Республика Саха (Якутия);;98659000;с. Батагай-Алыта;эвены;якуты;52298;2867;2913;1,6;0,05;0,06;1382;1400;48,2;48,1;-0,1;1485;1513;51,8;51,9;0,1;0;0;2867;2913;0,0;0,0;0,0;30 из 75;73 из 75;72 из 75;10 из 75;63 из 75;60 из 75;74 из 75;73 из 75;45 из 75;42 из 75;28 из 75;73 из 75;72 из 75;31 из 75;34 из 75;48 из 75;62 из 75;59 из 75;41 из 75;38 из 75;62 из 75;59 из 75;35 из 75;;;
Республика Карелия;субъект РФ;;Входит в АЗРФ частично.;86000000;г. Петрозаводск;русские;карелы;71255;130167;101670;-21,9;1,83;1,43;61273;46919;47,1;46,1;-0,9;68894;54751;52,9;53,9;0,9;105030;84274;25137;17396;80,7;82,9;2,2;9 из 9;6 из 9;6 из 9;8 из 9;3 из 9;3 из 9;6 из 9;6 из 9;8 из 9;8 из 9;9 из 9;6 из 9;6 из 9;2 из 9;2 из 9;1 из 9;6 из 9;6 из 9;6 из 9;6 из 9;6 из 9;6 из 9;3 из 9;;;
ГО Костомукша;городской округ;Республика Карелия;;86706000;г. Костомукша;русские;карелы;4046;28997;26650;-8,1;716,68;658,68;13956;12564;48,1;47,1;-1,0;15041;14086;51,9;52,9;1,0;28436;26048;561;602;98,1;97,7;-0,3;53 из 75;27 из 75;28 из 75;24 из 75;4 из 75;4 из 75;27 из 75;27 из 75;48 из 75;53 из 75;55 из 75;27 из 75;28 из 75;28 из 75;23 из 75;21 из 75;24 из 75;23 из 75;60 из 75;57 из 75;15 из 75;17 из 75;60 из 75;;;
МР Беломорский;муниципальный район;Республика Карелия;;86604000;г. Беломорск;русские;карелы;12797;19118;13076;-31,6;1,49;1,02;8692;5769;45,5;44,1;-1,3;10426;7307;54,5;55,9;1,3;11217;7708;7901;5368;58,7;58,9;0,3;47 из 75;35 из 75;40 из 75;72 из 75;33 из 75;34 из 75;36 из 75;41 из 75;72 из 75;75 из 75;62 из 75;34 из 75;38 из 75;4 из 75;1 из 75;14 из 75;35 из 75;36 из 75;16 из 75;20 из 75;48 из 75;47 из 75;28 из 75;;;
МР Калевальский;муниципальный район;Республика Карелия;;86609000;пгт Калевала;русские;карелы;13260;8321;6176;-25,8;0,63;0,47;3916;2850;47,1;46,1;-0,9;4405;3326;52,9;53,9;0,9;4529;3526;3792;2650;54,4;57,1;2,7;46 из 75;52 из 75;56 из 75;61 из 75;38 из 75;39 из 75;54 из 75;56 из 75;59 из 75;64 из 75;53 из 75;51 из 75;56 из 75;17 из 75;12 из 75;23 из 75;50 из 75;47 из 75;35 из 75;41 из 75;51 из 75;49 из 75;13 из 75;;;
МР Кемский;муниципальный район;Республика Карелия;;86612000;г. Кемь;русские;карелы;8029;17756;13138;-26,0;2,21;1,64;8116;6021;45,7;45,8;0,1;9640;7117;54,3;54,2;-0,1;13051;10018;4705;3120;73,5;76,3;2,8;50 из 75;37 из 75;39 из 75;62 из 75;30 из 75;30 из 75;39 из 75;40 из 75;70 из 75;68 из 75;15 из 75;36 из 75;39 из 75;6 из 75;8 из 75;61 из 75;33 из 75;34 из 75;27 из 75;37 из 75;37 из 75;36 из 75;12 из 75;;;
МР Лоухский;муниципальный район;Республика Карелия;;86621000;пгт Лоухи;русские;карелы;22552;14760;10259;-30,5;0,65;0,45;6786;4706;46,0;45,9;-0,1;7974;5553;54,0;54,1;0,1;9794;7361;4966;2898;66,4;71,8;5,4;43 из 75;42 из 75;43 из 75;67 из 75;37 из 75;40 из 75;42 из 75;45 из 75;67 из 75;67 из 75;24 из 75;41 из 75;42 из 75;9 из 75;9 из 75;52 из 75;37 из 75;37 из 75;25 из 75;39 из 75;44 из 75;41 из 75;6 из 75;;;
МР Сегежский;муниципальный район;Республика Карелия;;86645000;г. Сегежа;русские;белорусы;10571;41215;32371;-21,5;3,90;3,06;19807;15009;48,1;46,4;-1,7;21408;17362;51,9;53,6;1,7;38003;29613;3212;2758;92,2;91,5;-0,7;48 из 75;18 из 75;20 из 75;51 из 75;28 из 75;27 из 75;19 из 75;21 из 75;49 из 75;61 из 75;67 из 75;18 из 75;18 из 75;27 из 75;15 из 75;9 из 75;17 из 75;19 из 75;40 из 75;40 из 75;24 из 75;25 из 75;64 из 75;;;
Архангельская область (без НАО);субъект РФ;;Входит в АЗРФ частично.;11000000;г. Архангельск;русские;украинцы;245817;699422;584835;-16,4;2,85;2,38;320059;266708;45,8;45,6;-0,2;379363;318127;54,2;54,4;0,2;614125;515498;85297;69337;87,8;88,1;0,3;5 из 9;2 из 9;2 из 9;7 из 9;2 из 9;2 из 9;2 из 9;2 из 9;9 из 9;9 из 9;3 из 9;2 из 9;2 из 9;1 из 9;1 из 9;7 из 9;2 из 9;2 из 9;1 из 9;2 из 9;4 из 9;4 из 9;4 из 9;;;
МР Лешуконский;муниципальный район;Архангельская область;;11638000;с. Лешуконское;русские;украинцы;28084;7979;5523;-30,8;0,28;0,20;3793;2545;47,5;46,1;-1,5;4186;2978;52,5;53,9;1,5;0;0;7979;5523;0,0;0,0;0,0;38 из 75;55 из 75;58 из 75;69 из 75;45 из 75;45 из 75;57 из 75;58 из 75;54 из 75;65 из 75;63 из 75;53 из 75;57 из 75;22 из 75;11 из 75;13 из 75;62 из 75;59 из 75;15 из 75;19 из 75;62 из 75;59 из 75;35 из 75;;;
МР Мезенский;муниципальный район;Архангельская область;;11642000;г. Мезень;русские;ненцы;34410;10330;7466;-27,7;0,30;0,22;4860;3467;47,0;46,4;-0,6;5470;3999;53,0;53,6;0,6;6157;2874;4173;4592;59,6;38,5;-21,1;33 из 75;48 из 75;51 из 75;63 из 75;44 из 75;44 из 75;48 из 75;52 из 75;60 из 75;59 из 75;48 из 75;47 из 75;48 из 75;16 из 75;17 из 75;28 из 75;43 из 75;51 из 75;32 из 75;25 из 75;46 из 75;57 из 75;72 из 75;;;
МР Онежский;муниципальный район;Архангельская область;;11646000;г. Онега;русские;украинцы;23756;35376;24922;-29,6;1,49;1,05;16621;11698;47,0;46,9;0,0;18755;13224;53,0;53,1;0,0;24245;18946;11131;5976;68,5;76,0;7,5;42 из 75;21 из 75;29 из 75;66 из 75;34 из 75;33 из 75;22 из 75;29 из 75;61 из 75;55 из 75;23 из 75;21 из 75;29 из 75;15 из 75;21 из 75;53 из 75;26 из 75;30 из 75;9 из 75;17 из 75;41 из 75;38 из 75;4 из 75;;;
МР Пинежский;муниципальный район;Архангельская область;;11648000;с. Карпогоры;русские;украинцы;32116;26978;18583;-31,1;0,84;0,58;13451;8919;49,9;48,0;-1,9;13527;9664;50,1;52,0;1,9;0;0;26978;18583;0,0;0,0;0,0;34 из 75;28 из 75;32 из 75;70 из 75;36 из 75;38 из 75;29 из 75;33 из 75;22 из 75;43 из 75;69 из 75;29 из 75;32 из 75;54 из 75;33 из 75;7 из 75;62 из 75;59 из 75;1 из 75;2 из 75;62 из 75;59 из 75;35 из 75;;;
МР Приморский;муниципальный район;Архангельская область;;11652000;г. Архангельск;русские;украинцы;46134;26327;28799;9,4;0,57;0,62;12577;14254;47,8;49,5;1,7;13750;14545;52,2;50,5;-1,7;0;0;26327;28799;0,0;0,0;0,0;31 из 75;30 из 75;25 из 75;4 из 75;40 из 75;36 из 75;30 из 75;25 из 75;53 из 75;19 из 75;2 из 75;28 из 75;25 из 75;23 из 75;57 из 75;74 из 75;62 из 75;59 из 75;2 из 75;1 из 75;62 из 75;59 из 75;35 из 75;;;
ГО Архангельск;городской округ;Архангельская область;;11701000;г. Архангельск;русские;украинцы;294;355781;306021;-14,0;1208,29;1039,30;159485;136377;44,8;44,6;-0,3;196296;169644;55,2;55,4;0,3;348783;301199;6998;4822;98,0;98,4;0,4;65 из 75;1 из 75;1 из 75;37 из 75;2 из 75;2 из 75;1 из 75;1 из 75;74 из 75;73 из 75;34 из 75;1 из 75;1 из 75;2 из 75;3 из 75;42 из 75;1 из 75;1 из 75;19 из 75;24 из 75;16 из 75;16 из 75;26 из 75;;;
ГО Новая Земля;городской округ;Архангельская область;;11712000;пгт Белушья Губа;русские;украинцы;79788;2429;2302;-5,2;0,03;0,03;1718;1663;70,7;72,2;1,5;711;639;29,3;27,8;-1,5;1972;1972;457;330;81,2;85,7;4,5;22 из 75;74 из 75;74 из 75;17 из 75;72 из 75;71 из 75;71 из 75;71 из 75;1 из 75;1 из 75;3 из 75;75 из 75;75 из 75;75 из 75;75 из 75;73 из 75;60 из 75;55 из 75;62 из 75;61 из 75;32 из 75;30 из 75;8 из 75;;;
ГО Новодвинск;городской округ;Архангельская область;;11715000;г. Новодвинск;русские;украинцы;41;40615;33294;-18,0;991,34;812,64;18197;14748;44,8;44,3;-0,5;22418;18546;55,2;55,7;0,5;40615;33294;0;0;100,0;100,0;0,0;75 из 75;19 из 75;17 из 75;47 из 75;3 из 75;3 из 75;20 из 75;23 из 75;75 из 75;74 из 75;45 из 75;16 из 75;16 из 75;1 из 75;2 из 75;31 из 75;16 из 75;13 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
ГО Северодвинск;городской округ;Архангельская область;;11730000;г. Северодвинск;русские;украинцы;1193;193607;157925;-18,4;162,22;132,32;89357;73037;46,2;46,2;0,1;104250;84888;53,8;53,8;-0,1;192353;157213;1254;712;99,4;99,5;0,2;58 из 75;3 из 75;4 из 75;48 из 75;12 из 75;12 из 75;3 из 75;4 из 75;64 из 75;63 из 75;18 из 75;3 из 75;4 из 75;12 из 75;13 из 75;58 из 75;3 из 75;4 из 75;55 из 75;56 из 75;13 из 75;14 из 75;32 из 75;;;
Ненецкий АО;субъект РФ;;;11800000;г. Нарьян-Мар;русские;ненцы;176813;42090;41434;-1,6;0,24;0,23;20487;19914;48,7;48,1;-0,6;21603;21520;51,3;51,9;0,6;28539;30665;13551;10769;67,8;74,0;6,2;6 из 9;9 из 9;9 из 9;1 из 9;6 из 9;6 из 9;9 из 9;9 из 9;5 из 9;5 из 9;7 из 9;9 из 9;9 из 9;5 из 9;5 из 9;3 из 9;9 из 9;8 из 9;9 из 9;9 из 9;7 из 9;7 из 9;1 из 9;;;
ГО Нарьян-Мар;городской округ;Ненецкий АО;;11851000;г. Нарьян-Мар;русские;коми;45;21658;23399;8,0;481,54;520,25;10224;10905;47,2;46,6;-0,6;11434;12494;52,8;53,4;0,6;21658;23399;0;0;100,0;100,0;0,0;74 из 75;32 из 75;30 из 75;5 из 75;6 из 75;6 из 75;33 из 75;30 из 75;58 из 75;58 из 75;46 из 75;33 из 75;30 из 75;18 из 75;18 из 75;30 из 75;30 из 75;26 из 75;66 из 75;66 из 75;1 из 75;1 из 75;35 из 75;;;
МР Заполярный;муниципальный район;Ненецкий АО;;11811000;пгт Искателей;русские;ненцы;176768;20432;18035;-11,7;0,12;0,10;10263;9009;50,2;50,0;-0,3;10169;9026;49,8;50,0;0,3;6881;7266;13551;10769;33,7;40,3;6,6;6 из 75;34 из 75;33 из 75;28 из 75;51 из 75;52 из 75;32 из 75;32 из 75;16 из 75;14 из 75;35 из 75;35 из 75;35 из 75;60 из 75;62 из 75;41 из 75;40 из 75;38 из 75;5 из 75;6 из 75;61 из 75;56 из 75;5 из 75;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
