Территория;Год;Площадь территории, км?;Численность населения, человек;Плотность населения;Численность мужчин, человек;Доля мужчин, %;Численность женщин, человек;Доля женщин, %;Численность городского населения, человек;Численность сельского населения,  человек;Степень урбанизации, %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арктическая зона РФ;2010;5178830;2765824;0.53;1322326;47.8;1443498;52.2;2383193;382631;86.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Коми;2010;127439;191300;1.50;91203;47.7;100097;52.3;170512;20788;89.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Воркута;2010;24180;95854;3.96;45554;47.5;50300;52.5;95241;613;99.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Инта;2010;30097;35181;1.17;16192;46.0;18989;54.0;33196;1985;94.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Усинск;2010;30564;47229;1.55;23100;48.9;24129;51.1;42075;5154;89.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Усть-Цилемский;2010;42598;13036;0.31;6357;48.8;6679;51.2;0;13036;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мурманская область;2010;141427;795409;5.62;379560;47.7;415849;52.3;738382;57027;92.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Мурманск;2010;168;307257;1827.39;141130;45.9;166127;54.1;307257;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Ковдорский;2010;4066;21297;5.24;9796;46.0;11501;54.0;18820;2477;88.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Апатиты;2010;2461;59674;24.25;27081;45.4;32593;54.6;59672;2;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Кировск;2010;3633;30990;8.53;14108;45.5;16882;54.5;28625;2365;92.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Мончегорск;2010;3375;47975;14.22;21939;45.7;26036;54.3;45361;2614;94.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Оленегорск;2010;1889;30021;15.90;14535;48.4;15486;51.6;23072;6949;76.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Полярные Зори;2010;987;17641;17.88;8379;47.5;9262;52.5;15096;2545;85.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Кольский;2010;27581;44670;1.62;22393;50.1;22277;49.9;34125;10545;76.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Кандалакшский;2010;14412;49544;3.44;23127;46.7;26417;53.3;42214;7330;85.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Ловозерский;2010;52978;11820;0.22;6180;52.3;5640;47.7;8414;3406;71.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Печенгский;2010;8662;38920;4.49;20895;53.7;18025;46.3;31769;7151;81.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Терский;2010;19310;6288;0.33;2978;47.4;3310;52.6;5532;756;88.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Североморск;2010;494;67331;136.29;35038;52.0;32293;48.0;64011;3320;95.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Островной;2010;463;2222;4.80;1166;52.5;1056;47.5;2171;51;97.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Заозерск;2010;516;11199;21.70;5922;52.9;5277;47.1;11199;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Видяево;2010;77;5771;74.51;2938;50.9;2833;49.1;0;5771;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Александровск;2010;354;42789;120.88;21955;51.3;20834;48.7;41044;1745;95.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ямало-Ненецкий АО;2010;769667;522904;0.68;259200;49.6;263704;50.4;443043;79861;84.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Салехард;2010;1018;42845;42.10;20101;46.9;22744;53.1;42544;301;99.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Губкинский;2010;73;23335;321.53;11523;49.4;11812;50.6;23335;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Лабытнанги;2010;137;26936;197.09;13938;51.7;12998;48.3;26936;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Муравленко;2010;92;33391;364.56;16637;49.8;16754;50.2;33391;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Новый Уренгой;2010;227;104107;459.59;51296;49.3;52811;50.7;104107;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Ноябрьск;2010;189;110620;585.14;54520;49.3;56100;50.7;110620;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Красноселькупский;2010;106759;6204;0.06;3091;49.8;3113;50.2;0;6204;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Надымский;2010;109943;66530;0.61;32551;48.9;33979;51.1;58440;8090;87.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Приуральский;2010;64622;14995;0.23;8291;55.3;6704;44.7;6413;8582;42.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Пуровский;2010;108797;51280;0.47;26290;51.3;24990;48.7;30464;20816;59.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Тазовский;2010;174344;16537;0.09;8115;49.1;8422;50.9;6793;9744;41.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Шурышкарский;2010;54741;9814;0.18;4855;49.5;4959;50.5;0;9814;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Ямальский;2010;148727;16310;0.11;7992;49.0;8318;51.0;0;16310;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чукотский АО;2010;723489;50526;0.07;25318;50.1;25208;49.9;32734;17792;64.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Анадырь;2010;60;13517;224.01;6515;48.2;7002;51.8;13045;472;96.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Певек;2010;67091;5148;0.08;2748;53.4;2400;46.6;4162;986;80.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Провидения;2010;27286;3923;0.14;1967;50.1;1956;49.9;1970;1953;50.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Эгвекинот;2010;136644;5798;0.04;2947;50.8;2851;49.2;3282;2516;56.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Анадырский;2010;287508;9436;0.03;4844;51.3;4592;48.7;4769;4667;50.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Билибинский;2010;174652;7866;0.05;3922;49.9;3944;50.1;5506;2360;70.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Чукотский;2010;30247;4838;0.16;2375;49.1;2463;50.9;0;4838;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Красноярский край;2010;1475318;237421;0.16;117599;49.5;119822;50.5;211835;25586;89.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Норильск;2010;4509;176252;39.09;88007;49.9;88245;50.1;176252;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Таймырский Долгано-Ненецкий;2010;879900;34432;0.04;16576;48.1;17856;51.9;22851;11581;66.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Туруханский;2010;209309;18708;0.09;9111;48.7;9597;51.3;7197;11511;38.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Эвенкийский;2010;381600;8029;0.02;3905;48.6;4124;51.4;5535;2494;68.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Саха (Якутия);2010;1451611;96585;0.07;47627;49.3;48958;50.7;38993;57592;40.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Абыйский;2010;69435;4425;0.06;2119;47.9;2306;52.1;2245;2180;50.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Аллаиховский;2010;107338;3050;0.03;1461;47.9;1589;52.1;2367;683;77.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Анабарский (долгано-эвенкийский);2010;55558;3501;0.06;1698;48.5;1803;51.5;0;3501;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Булунский;2010;223583;9054;0.04;4690;51.8;4364;48.2;5063;3991;55.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Верхнеколымский ;2010;67774;4723;0.07;2327;49.3;2396;50.7;3170;1553;67.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Верхоянский;2010;137428;12815;0.09;6278;49.0;6537;51.0;5919;6896;46.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Жиганский;2010;140222;4296;0.03;2080;48.4;2216;51.6;0;4296;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Момский;2010;104627;4452;0.04;2147;48.2;2305;51.8;0;4452;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Нижнеколымский;2010;87118;4664;0.05;2231;47.8;2433;52.2;2857;1807;61.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Оленекский;2010;160792;26785;0.17;13358;49.9;13427;50.1;9494;17291;35.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Среднеколымский;2010;125161;7897;0.06;3817;48.3;4080;51.7;3525;4372;44.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Усть-Янский;2010;120278;8056;0.07;4039;50.1;4017;49.9;4353;3703;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Эвено-Бытантайский;2010;52298;2867;0.05;1382;48.2;1485;51.8;0;2867;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Карелия;2010;67249;130167;1.94;61273;47.1;68894;52.9;105030;25137;80.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Костомукша;2010;40;28997;716.68;13956;48.1;15041;51.9;28436;561;98.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Беломорский;2010;12797;19118;1.49;8692;45.5;10426;54.5;11217;7901;58.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Калевальский;2010;13260;8321;0.63;3916;47.1;4405;52.9;4529;3792;54.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Кемский;2010;8029;17756;2.21;8116;45.7;9640;54.3;13051;4705;73.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Лоухский;2010;22552;14760;0.65;6786;46.0;7974;54.0;9794;4966;66.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Сегежский;2010;10571;41215;3.90;19807;48.1;21408;51.9;38003;3212;92.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);2010;245817;699422;2.85;320059;45.8;379363;54.2;614125;85297;87.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Лешуконский;2010;28084;7979;0.28;3793;47.5;4186;52.5;0;7979;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Мезенский;2010;34410;10330;0.30;4860;47.0;5470;53.0;6157;4173;59.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Онежский;2010;23756;35376;1.49;16621;47.0;18755;53.0;24245;11131;68.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Пинежский;2010;32116;26978;0.84;13451;49.9;13527;50.1;0;26978;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Приморский;2010;46134;26327;0.57;12577;47.8;13750;52.2;0;26327;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Архангельск;2010;294;355781;1208.29;159485;44.8;196296;55.2;348783;6998;98.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Новая Земля;2010;79788;2429;0.03;1718;70.7;711;29.3;1972;457;81.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Новодвинск;2010;41;40615;991.34;18197;44.8;22418;55.2;40615;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Северодвинск;2010;1193;193607;162.22;89357;46.2;104250;53.8;192353;1254;99.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ненецкий АО;2010;176813;42090;0.24;20487;48.7;21603;51.3;28539;13551;67.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Нарьян-Мар;2010;45;21658;481.54;10224;47.2;11434;52.8;21658;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Заполярный;2010;176768;20432;0.12;10263;50.2;10169;49.8;6881;13551;33.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Арктическая зона РФ;2021;5178830;2397408;0.46;1137272;47.4;1260136;52.6;2070058;327350;86.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Коми;2021;127439;137951;1.08;65371;47.4;72580;52.6;121732;16219;88.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Воркута;2021;24180;68425;2.83;32431;47.4;35994;52.6;68128;297;99.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Инта;2021;30097;21857;0.73;9826;45.0;12031;55.0;20709;1148;94.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Усинск;2021;30564;36913;1.21;17873;48.4;19040;51.6;32895;4018;89.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Усть-Цилемский;2021;42598;10756;0.25;5241;48.7;5515;51.3;0;10756;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мурманская область;2021;141427;667744;4.72;314949;47.2;352795;52.8;621639;46105;93.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Мурманск;2021;168;270384;1608.09;124499;46.0;145885;54.0;270384;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Ковдорский;2021;4066;17182;4.23;7978;46.4;9204;53.6;15770;1412;91.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Апатиты;2021;2461;49663;20.18;22355;45.0;27308;55.0;49647;16;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Кировск;2021;3633;26852;7.39;12172;45.3;14680;54.7;24857;1995;92.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Мончегорск;2021;3375;42154;12.49;19519;46.3;22635;53.7;39962;2192;94.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Оленегорск;2021;1889;28159;14.91;13715;48.7;14444;51.3;21438;6721;76.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Полярные Зори;2021;987;15818;16.03;7447;47.1;8371;52.9;14146;1672;89.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Кольский;2021;27581;34112;1.24;16402;48.1;17710;51.9;26746;7366;78.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Кандалакшский;2021;14412;40981;2.84;19187;46.8;21794;53.2;32906;8075;80.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Ловозерский;2021;52978;8852;0.17;4286;48.4;4566;51.6;6394;2458;72.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Печенгский;2021;8662;32053;3.70;16661;52.0;15392;48.0;26855;5198;83.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Терский;2021;19310;4682;0.24;2141;45.7;2541;54.3;4121;561;88.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Североморск;2021;494;50796;102.82;25332;49.9;25464;50.1;47632;3164;93.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Островной;2021;463;1508;3.26;791;52.5;717;47.5;1487;21;98.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Заозерск;2021;516;7762;15.04;3984;51.3;3778;48.7;7762;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Видяево;2021;77;4327;55.86;2188;50.6;2139;49.4;0;4327;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЗАТО Александровск;2021;354;32459;91.69;16292;50.2;16167;49.8;31532;927;97.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ямало-Ненецкий АО;2021;769667;510490;0.66;248974;48.8;261516;51.2;432263;78227;84.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Салехард;2021;1018;47983;47.15;22492;46.9;25491;53.1;47910;73;99.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Губкинский;2021;73;33273;458.46;16686;50.1;16587;49.9;33273;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Лабытнанги;2021;137;30532;223.40;15558;51.0;14974;49.0;30532;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Муравленко;2021;92;29233;319.17;14826;50.7;14407;49.3;29233;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Новый Уренгой;2021;227;107251;473.47;52468;48.9;54783;51.1;107251;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Ноябрьск;2021;189;100188;529.96;47769;47.7;52419;52.3;100188;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Красноселькупский;2021;106759;5789;0.05;2843;49.1;2946;50.9;0;5789;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Надымский;2021;109943;66938;0.61;32865;49.1;34073;50.9;58131;8807;86.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Приуральский;2021;64622;9860;0.15;4837;49.1;5023;50.9;0;9860;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Пуровский;2021;108797;36569;0.34;17659;48.3;18910;51.7;25745;10824;70.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Тазовский;2021;174344;17723;0.10;8673;48.9;9050;51.1;0;17723;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Шурышкарский;2021;54741;9084;0.17;4483;49.4;4601;50.6;0;9084;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МО Ямальский;2021;148727;16067;0.11;7815;48.6;8252;51.4;0;16067;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чукотский АО;2021;723489;47490;0.07;23608;49.7;23882;50.3;32389;15101;68.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Анадырь;2021;60;13598;225.36;6646;48.9;6952;51.1;13202;396;97.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Певек;2021;67091;4776;0.07;2453;51.4;2323;48.6;4015;761;84.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Провидения;2021;27286;3707;0.14;1823;49.2;1884;50.8;2140;1567;57.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Эгвекинот;2021;136644;4835;0.04;2433;50.3;2402;49.7;3150;1685;65.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Анадырский;2021;287508;8161;0.03;4176;51.2;3985;48.8;4336;3825;53.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Билибинский;2021;174652;7418;0.04;3680;49.6;3738;50.4;5546;1872;74.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Чукотский;2021;30247;4995;0.17;2397;48.0;2598;52.0;0;4995;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Красноярский край;2021;1475318;224874;0.15;111159;49.4;113715;50.6;198746;26128;88.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Норильск;2021;4509;175237;38.86;87178;49.7;88059;50.3;175237;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Таймырский Долгано-Ненецкий;2021;879900;30154;0.03;14646;48.6;15508;51.4;19875;10279;65.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Туруханский;2021;209309;12808;0.06;6100;47.6;6708;52.4;3634;9174;28.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Эвенкийский;2021;381600;6675;0.02;3235;48.5;3440;51.5;0;6675;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Саха (Якутия);2021;1451611;80920;0.06;39670;49.0;41250;51.0;32852;48068;40.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Абыйский;2021;69435;3838;0.06;1842;48.0;1996;52.0;1927;1911;50.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Аллаиховский;2021;107338;2379;0.02;1169;49.1;1210;50.9;1869;510;78.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Анабарский (долгано-эвенкийский);2021;55558;3479;0.06;1652;47.5;1827;52.5;0;3479;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Булунский;2021;223583;7706;0.03;4162;54.0;3544;46.0;4173;3533;54.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Верхнеколымский ;2021;67774;3803;0.06;1843;48.5;1960;51.5;2521;1282;66.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Верхоянский;2021;137428;10037;0.07;4811;47.9;5226;52.1;4734;5303;47.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Жиганский;2021;140222;4177;0.03;2002;47.9;2175;52.1;0;4177;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Момский;2021;104627;3733;0.04;1788;47.9;1945;52.1;0;3733;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Нижнеколымский;2021;87118;4214;0.05;2034;48.3;2180;51.7;2623;1591;62.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Оленекский;2021;160792;21026;0.13;10307;49.0;10719;51.0;8398;12628;39.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Среднеколымский;2021;125161;6805;0.05;3287;48.3;3518;51.7;3131;3674;46.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Усть-Янский;2021;120278;6810;0.06;3373;49.5;3437;50.5;3476;3334;51.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Эвено-Бытантайский;2021;52298;2913;0.06;1400;48.1;1513;51.9;0;2913;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Карелия;2021;67249;101670;1.51;46919;46.1;54751;53.9;84274;17396;82.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Костомукша;2021;40;26650;658.68;12564;47.1;14086;52.9;26048;602;97.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Беломорский;2021;12797;13076;1.02;5769;44.1;7307;55.9;7708;5368;58.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Калевальский;2021;13260;6176;0.47;2850;46.1;3326;53.9;3526;2650;57.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Кемский;2021;8029;13138;1.64;6021;45.8;7117;54.2;10018;3120;76.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Лоухский;2021;22552;10259;0.45;4706;45.9;5553;54.1;7361;2898;71.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Сегежский;2021;10571;32371;3.06;15009;46.4;17362;53.6;29613;2758;91.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Архангельская область (без НАО);2021;245817;584835;2.38;266708;45.6;318127;54.4;515498;69337;88.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Лешуконский;2021;28084;5523;0.20;2545;46.1;2978;53.9;0;5523;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Мезенский;2021;34410;7466;0.22;3467;46.4;3999;53.6;2874;4592;38.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Онежский;2021;23756;24922;1.05;11698;46.9;13224;53.1;18946;5976;76.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Пинежский;2021;32116;18583;0.58;8919;48.0;9664;52.0;0;18583;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Приморский;2021;46134;28799;0.62;14254;49.5;14545;50.5;0;28799;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Архангельск;2021;294;306021;1039.30;136377;44.6;169644;55.4;301199;4822;98.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Новая Земля;2021;79788;2302;0.03;1663;72.2;639;27.8;1972;330;85.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Новодвинск;2021;41;33294;812.64;14748;44.3;18546;55.7;33294;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Северодвинск;2021;1193;157925;132.32;73037;46.2;84888;53.8;157213;712;99.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ненецкий АО;2021;176813;41434;0.23;19914;48.1;21520;51.9;30665;10769;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГО Нарьян-Мар;2021;45;23399;520.25;10905;46.6;12494;53.4;23399;0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
МР Заполярный;2021;176768;18035;0.10;9009;50.0;9026;50.0;7266;10769;40.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
