Название;Год;МО;Регион;Тип;Широта;Долгота;Численность населения
г. Архангельск;1939;ГО Архангельск;Архангельская область (без НАО);город;64.5401;40.5433;284570.0
г. Архангельск;1959;ГО Архангельск;Архангельская область (без НАО);город;64.5401;40.5433;256309.0
г. Архангельск;1970;ГО Архангельск;Архангельская область (без НАО);город;64.5401;40.5433;342590.0
г. Архангельск;1979;ГО Архангельск;Архангельская область (без НАО);город;64.5401;40.5433;385028.0
г. Архангельск;1989;ГО Архангельск;Архангельская область (без НАО);город;64.5401;40.5433;416812.0
г. Архангельск;2002;ГО Архангельск;Архангельская область (без НАО);город;64.5401;40.5433;356051.0
г. Архангельск;2010;ГО Архангельск;Архангельская область (без НАО);город;64.5401;40.5433;348783.0
г. Архангельск;2021;ГО Архангельск;Архангельская область (без НАО);город;64.5401;40.5433;301199.0
г. Анадырь;1970;ГО Анадырь;Чукотский АО;город;64.73424;177.5103;7703.0
г. Анадырь;1979;ГО Анадырь;Чукотский АО;город;64.73424;177.5103;12241.0
г. Анадырь;1989;ГО Анадырь;Чукотский АО;город;64.73424;177.5103;17660.0
г. Анадырь;2002;ГО Анадырь;Чукотский АО;город;64.73424;177.5103;11038.0
г. Анадырь;2010;ГО Анадырь;Чукотский АО;город;64.73424;177.5103;13045.0
г. Анадырь;2021;ГО Анадырь;Чукотский АО;город;64.73424;177.5103;13202.0
г. Апатиты;1970;МО Апатиты;Мурманская область;город;67.56414;33.4031;45627.0
г. Апатиты;1979;МО Апатиты;Мурманская область;город;67.56414;33.4031;62010.0
г. Апатиты;1989;МО Апатиты;Мурманская область;город;67.56414;33.4031;88066.0
г. Апатиты;2002;МО Апатиты;Мурманская область;город;67.56414;33.4031;64405.0
г. Апатиты;2010;МО Апатиты;Мурманская область;город;67.56414;33.4031;59672.0
г. Апатиты;2021;МО Апатиты;Мурманская область;город;67.56414;33.4031;49647.0
г. Беломорск;1939;МР Беломорский;Республика Карелия;город;64.52322;34.7668;12238.0
г. Беломорск;1959;МР Беломорский;Республика Карелия;город;64.52322;34.7668;14783.0
г. Беломорск;1970;МР Беломорский;Республика Карелия;город;64.52322;34.7668;16595.0
г. Беломорск;1979;МР Беломорский;Республика Карелия;город;64.52322;34.7668;18071.0
г. Беломорск;1989;МР Беломорский;Республика Карелия;город;64.52322;34.7668;17897.0
г. Беломорск;2002;МР Беломорский;Республика Карелия;город;64.52322;34.7668;13103.0
г. Беломорск;2010;МР Беломорский;Республика Карелия;город;64.52322;34.7668;11217.0
г. Беломорск;2021;МР Беломорский;Республика Карелия;город;64.52322;34.7668;7708.0
г. Билибино;2002;МР Билибинский;Чукотский АО;город;68.05464;166.43721;6181.0
г. Билибино;2010;МР Билибинский;Чукотский АО;город;68.05464;166.43721;5506.0
г. Билибино;2021;МР Билибинский;Чукотский АО;город;68.05464;166.43721;5546.0
г. Верхоянск;1939;МР Верхоянский;Республика Саха (Якутия);город;67.55387;133.38976;1569.0
г. Верхоянск;1959;МР Верхоянский;Республика Саха (Якутия);город;67.55387;133.38976;1410.0
г. Верхоянск;1970;МР Верхоянский;Республика Саха (Якутия);город;67.55387;133.38976;1864.0
г. Верхоянск;1979;МР Верхоянский;Республика Саха (Якутия);город;67.55387;133.38976;1709.0
г. Верхоянск;1989;МР Верхоянский;Республика Саха (Якутия);город;67.55387;133.38976;1902.0
г. Верхоянск;2002;МР Верхоянский;Республика Саха (Якутия);город;67.55387;133.38976;1434.0
г. Верхоянск;2010;МР Верхоянский;Республика Саха (Якутия);город;67.55387;133.38976;1311.0
г. Верхоянск;2021;МР Верхоянский;Республика Саха (Якутия);город;67.55387;133.38976;828.0
г. Воркута;1959;ГО Воркута;Республика Коми;город;67.49884;64.05253;55668.0
г. Воркута;1970;ГО Воркута;Республика Коми;город;67.49884;64.05253;89742.0
г. Воркута;1979;ГО Воркута;Республика Коми;город;67.49884;64.05253;100210.0
г. Воркута;1989;ГО Воркута;Республика Коми;город;67.49884;64.05253;115329.0
г. Воркута;2002;ГО Воркута;Республика Коми;город;67.49884;64.05253;84917.0
г. Воркута;2010;ГО Воркута;Республика Коми;город;67.49884;64.05253;70548.0
г. Воркута;2021;ГО Воркута;Республика Коми;город;67.49884;64.05253;56985.0
г. Гаджиево;2002;ЗАТО Александровск;Мурманская область;город;69.25506;33.33616;12180.0
г. Гаджиево;2010;ЗАТО Александровск;Мурманская область;город;69.25506;33.33616;11068.0
г. Гаджиево;2021;ЗАТО Александровск;Мурманская область;город;69.25506;33.33616;9297.0
г. Губкинский;2002;ГО Губкинский;Ямало-Ненецкий АО;город;64.434;76.50261;20407.0
г. Губкинский;2010;ГО Губкинский;Ямало-Ненецкий АО;город;64.434;76.50261;23335.0
г. Губкинский;2021;ГО Губкинский;Ямало-Ненецкий АО;город;64.434;76.50261;33273.0
г. Дудинка;1959;МР Таймырский Долгано-Ненецкий;Красноярский край;город;69.40583;86.17778;16332.0
г. Дудинка;1970;МР Таймырский Долгано-Ненецкий;Красноярский край;город;69.40583;86.17778;19701.0
г. Дудинка;1979;МР Таймырский Долгано-Ненецкий;Красноярский край;город;69.40583;86.17778;24758.0
г. Дудинка;1989;МР Таймырский Долгано-Ненецкий;Красноярский край;город;69.40583;86.17778;32180.0
г. Дудинка;2002;МР Таймырский Долгано-Ненецкий;Красноярский край;город;69.40583;86.17778;25132.0
г. Дудинка;2010;МР Таймырский Долгано-Ненецкий;Красноярский край;город;69.40583;86.17778;22175.0
г. Дудинка;2021;МР Таймырский Долгано-Ненецкий;Красноярский край;город;69.40583;86.17778;19556.0
г. Заозерск;2002;ЗАТО Заозерск;Мурманская область;город;69.40052;32.44761;12687.0
г. Заозерск;2010;ЗАТО Заозерск;Мурманская область;город;69.40052;32.44761;11199.0
г. Заозерск;2021;ЗАТО Заозерск;Мурманская область;город;69.40052;32.44761;7762.0
г. Заполярный;1970;МР Печенгский;Мурманская область;город;69.41541;30.81355;22084.0
г. Заполярный;1979;МР Печенгский;Мурманская область;город;69.41541;30.81355;21172.0
г. Заполярный;1989;МР Печенгский;Мурманская область;город;69.41541;30.81355;24231.0
г. Заполярный;2002;МР Печенгский;Мурманская область;город;69.41541;30.81355;18640.0
г. Заполярный;2010;МР Печенгский;Мурманская область;город;69.41541;30.81355;15825.0
г. Заполярный;2021;МР Печенгский;Мурманская область;город;69.41541;30.81355;14791.0
г. Игарка;1939;МР Туруханский;Красноярский край;город;67.4655;86.6027;23648.0
г. Игарка;1959;МР Туруханский;Красноярский край;город;67.4655;86.6027;14311.0
г. Игарка;1970;МР Туруханский;Красноярский край;город;67.4655;86.6027;15624.0
г. Игарка;1979;МР Туруханский;Красноярский край;город;67.4655;86.6027;16335.0
г. Игарка;1989;МР Туруханский;Красноярский край;город;67.4655;86.6027;19045.0
г. Игарка;2002;МР Туруханский;Красноярский край;город;67.4655;86.6027;8627.0
г. Игарка;2010;МР Туруханский;Красноярский край;город;67.4655;86.6027;6183.0
г. Игарка;2021;МР Туруханский;Красноярский край;город;67.4655;86.6027;3634.0
г. Инта;1959;ГО Инта;Республика Коми;город;66.03169;60.16594;45136.0
г. Инта;1970;ГО Инта;Республика Коми;город;66.03169;60.16594;50178.0
г. Инта;1979;ГО Инта;Республика Коми;город;66.03169;60.16594;50862.0
г. Инта;1989;ГО Инта;Республика Коми;город;66.03169;60.16594;61798.0
г. Инта;2002;ГО Инта;Республика Коми;город;66.03169;60.16594;41217.0
г. Инта;2010;ГО Инта;Республика Коми;город;66.03169;60.16594;32080.0
г. Инта;2021;ГО Инта;Республика Коми;город;66.03169;60.16594;20271.0
г. Кайеркан;1989;ГО Норильск;Красноярский край;город;69.37861;87.74389;29824.0
г. Кайеркан;2002;ГО Норильск;Красноярский край;город;69.37861;87.74389;27116.0
г. Кандалакша;1939;МР Кандалакшский;Мурманская область;город;67.15123;32.41284;22172.0
г. Кандалакша;1959;МР Кандалакшский;Мурманская область;город;67.15123;32.41284;38222.0
г. Кандалакша;1970;МР Кандалакшский;Мурманская область;город;67.15123;32.41284;42656.0
г. Кандалакша;1979;МР Кандалакшский;Мурманская область;город;67.15123;32.41284;45430.0
г. Кандалакша;1989;МР Кандалакшский;Мурманская область;город;67.15123;32.41284;54246.0
г. Кандалакша;2002;МР Кандалакшский;Мурманская область;город;67.15123;32.41284;40564.0
г. Кандалакша;2010;МР Кандалакшский;Мурманская область;город;67.15123;32.41284;35654.0
г. Кандалакша;2021;МР Кандалакшский;Мурманская область;город;67.15123;32.41284;29138.0
г. Кемь;1939;МР Кемский;Республика Карелия;город;64.95546;34.57929;16624.0
г. Кемь;1959;МР Кемский;Республика Карелия;город;64.95546;34.57929;18127.0
г. Кемь;1970;МР Кемский;Республика Карелия;город;64.95546;34.57929;21025.0
г. Кемь;1979;МР Кемский;Республика Карелия;город;64.95546;34.57929;20962.0
г. Кемь;1989;МР Кемский;Республика Карелия;город;64.95546;34.57929;17637.0
г. Кемь;2002;МР Кемский;Республика Карелия;город;64.95546;34.57929;14620.0
г. Кемь;2010;МР Кемский;Республика Карелия;город;64.95546;34.57929;13051.0
г. Кемь;2021;МР Кемский;Республика Карелия;город;64.95546;34.57929;10018.0
г. Кировск;1939;МО Кировск;Мурманская область;город;67.61475;33.67274;22542.0
г. Кировск;1959;МО Кировск;Мурманская область;город;67.61475;33.67274;39047.0
г. Кировск;1970;МО Кировск;Мурманская область;город;67.61475;33.67274;38484.0
г. Кировск;1979;МО Кировск;Мурманская область;город;67.61475;33.67274;40521.0
г. Кировск;1989;МО Кировск;Мурманская область;город;67.61475;33.67274;43629.0
г. Кировск;2002;МО Кировск;Мурманская область;город;67.61475;33.67274;31593.0
г. Кировск;2010;МО Кировск;Мурманская область;город;67.61475;33.67274;28625.0
г. Кировск;2021;МО Кировск;Мурманская область;город;67.61475;33.67274;24857.0
г. Ковдор;1970;МО Ковдорский;Мурманская область;город;67.56616;30.47576;12387.0
г. Ковдор;1979;МО Ковдорский;Мурманская область;город;67.56616;30.47576;23211.0
г. Ковдор;1989;МО Ковдорский;Мурманская область;город;67.56616;30.47576;31229.0
г. Ковдор;2002;МО Ковдорский;Мурманская область;город;67.56616;30.47576;20867.0
г. Ковдор;2010;МО Ковдорский;Мурманская область;город;67.56616;30.47576;18820.0
г. Ковдор;2021;МО Ковдорский;Мурманская область;город;67.56616;30.47576;15770.0
г. Кола;1970;МР Кольский;Мурманская область;город;68.88062;33.01842;12085.0
г. Кола;1979;МР Кольский;Мурманская область;город;68.88062;33.01842;13301.0
г. Кола;1989;МР Кольский;Мурманская область;город;68.88062;33.01842;16701.0
г. Кола;2002;МР Кольский;Мурманская область;город;68.88062;33.01842;11060.0
г. Кола;2010;МР Кольский;Мурманская область;город;68.88062;33.01842;10437.0
г. Кола;2021;МР Кольский;Мурманская область;город;68.88062;33.01842;9016.0
г. Костомукша;1989;ГО Костомукша;Республика Карелия;город;64.571;30.57667;31192.0
г. Костомукша;2002;ГО Костомукша;Республика Карелия;город;64.571;30.57667;29746.0
г. Костомукша;2010;ГО Костомукша;Республика Карелия;город;64.571;30.57667;28436.0
г. Костомукша;2021;ГО Костомукша;Республика Карелия;город;64.571;30.57667;26048.0
г. Лабытнанги;1979;ГО Лабытнанги;Ямало-Ненецкий АО;город;66.65722;66.41833;17667.0
г. Лабытнанги;1989;ГО Лабытнанги;Ямало-Ненецкий АО;город;66.65722;66.41833;32331.0
г. Лабытнанги;2002;ГО Лабытнанги;Ямало-Ненецкий АО;город;66.65722;66.41833;27304.0
г. Лабытнанги;2010;ГО Лабытнанги;Ямало-Ненецкий АО;город;66.65722;66.41833;26936.0
г. Лабытнанги;2021;ГО Лабытнанги;Ямало-Ненецкий АО;город;66.65722;66.41833;25501.0
г. Мезень ;1939;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;3874.0
г. Мезень ;1959;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;4077.0
г. Мезень ;1970;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;4236.0
г. Мезень ;1979;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;4812.0
г. Мезень ;1989;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;4984.0
г. Мезень ;2002;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;3863.0
г. Мезень ;2010;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;3575.0
г. Мезень ;2021;МР Мезенский;Архангельская область (без НАО);город;65.8401;44.2542;2874.0
г. Мончегорск;1939;МО Мончегорск;Мурманская область;город;67.93972;32.87389;28450.0
г. Мончегорск;1959;МО Мончегорск;Мурманская область;город;67.93972;32.87389;45523.0
г. Мончегорск;1970;МО Мончегорск;Мурманская область;город;67.93972;32.87389;45980.0
г. Мончегорск;1979;МО Мончегорск;Мурманская область;город;67.93972;32.87389;51401.0
г. Мончегорск;1989;МО Мончегорск;Мурманская область;город;67.93972;32.87389;70856.0
г. Мончегорск;2002;МО Мончегорск;Мурманская область;город;67.93972;32.87389;52242.0
г. Мончегорск;2010;МО Мончегорск;Мурманская область;город;67.93972;32.87389;45361.0
г. Мончегорск;2021;МО Мончегорск;Мурманская область;город;67.93972;32.87389;39962.0
г. Муравленко;2002;ГО Муравленко;Ямало-Ненецкий АО;город;63.78977;74.52301;35926.0
г. Муравленко;2010;ГО Муравленко;Ямало-Ненецкий АО;город;63.78977;74.52301;33391.0
г. Муравленко;2021;ГО Муравленко;Ямало-Ненецкий АО;город;63.78977;74.52301;29233.0
г. Мурманск;1939;ГО Мурманск;Мурманская область;город;68.97917;33.09251;117069.0
г. Мурманск;1959;ГО Мурманск;Мурманская область;город;68.97917;33.09251;221874.0
г. Мурманск;1970;ГО Мурманск;Мурманская область;город;68.97917;33.09251;308642.0
г. Мурманск;1979;ГО Мурманск;Мурманская область;город;68.97917;33.09251;380817.0
г. Мурманск;1989;ГО Мурманск;Мурманская область;город;68.97917;33.09251;472274.0
г. Мурманск;2002;ГО Мурманск;Мурманская область;город;68.97917;33.09251;336137.0
г. Мурманск;2010;ГО Мурманск;Мурманская область;город;68.97917;33.09251;307257.0
г. Мурманск;2021;ГО Мурманск;Мурманская область;город;68.97917;33.09251;270384.0
г. Надым;1979;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;26058.0
г. Надым;1989;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;53659.0
г. Надым;2002;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;45943.0
г. Надым;2010;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;46611.0
г. Надым;2021;МО Надымский;Ямало-Ненецкий АО;город;65.53333;72.51667;45973.0
г. Нарьян-Мар;1939;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;13670.0
г. Нарьян-Мар;1959;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;13222.0
г. Нарьян-Мар;1970;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;16864.0
г. Нарьян-Мар;1979;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;23435.0
г. Нарьян-Мар;1989;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;20012.0
г. Нарьян-Мар;2002;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;18611.0
г. Нарьян-Мар;2010;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;21658.0
г. Нарьян-Мар;2021;ГО Нарьян-Мар;Ненецкий АО;город;67.63869;53.00371;23399.0
г. Новодвинск;1979;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;47764.0
г. Новодвинск;1989;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;49787.0
г. Новодвинск;2002;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;43383.0
г. Новодвинск;2010;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;40615.0
г. Новодвинск;2021;ГО Новодвинск;Архангельская область (без НАО);город;64.4165;40.8122;33294.0
г. Новый Уренгой;1989;ГО Новый Уренгой;Ямало-Ненецкий АО;город;66.08333;76.63333;95254.0
г. Новый Уренгой;2002;ГО Новый Уренгой;Ямало-Ненецкий АО;город;66.08333;76.63333;94456.0
г. Новый Уренгой;2010;ГО Новый Уренгой;Ямало-Ненецкий АО;город;66.08333;76.63333;104107.0
г. Новый Уренгой;2021;ГО Новый Уренгой;Ямало-Ненецкий АО;город;66.08333;76.63333;107251.0
г. Норильск;1959;ГО Норильск;Красноярский край;город;69.3535;88.2027;109442.0
г. Норильск;1970;ГО Норильск;Красноярский край;город;69.3535;88.2027;135487.0
г. Норильск;1979;ГО Норильск;Красноярский край;город;69.3535;88.2027;180358.0
г. Норильск;1989;ГО Норильск;Красноярский край;город;69.3535;88.2027;179757.0
г. Норильск;2002;ГО Норильск;Красноярский край;город;69.3535;88.2027;134832.0
г. Норильск;2010;ГО Норильск;Красноярский край;город;69.3535;88.2027;175365.0
г. Норильск;2021;ГО Норильск;Красноярский край;город;69.3535;88.2027;174453.0
г. Ноябрьск;1989;ГО Ноябрьск;Ямало-Ненецкий АО;город;63.19309;75.43728;87144.0
г. Ноябрьск;2002;ГО Ноябрьск;Ямало-Ненецкий АО;город;63.19309;75.43728;96440.0
г. Ноябрьск;2010;ГО Ноябрьск;Ямало-Ненецкий АО;город;63.19309;75.43728;110620.0
г. Ноябрьск;2021;ГО Ноябрьск;Ямало-Ненецкий АО;город;63.19309;75.43728;100188.0
г. Оленегорск;1959;МО Оленегорск;Мурманская область;город;68.1432;33.25287;12110.0
г. Оленегорск;1970;МО Оленегорск;Мурманская область;город;68.1432;33.25287;21485.0
г. Оленегорск;1979;МО Оленегорск;Мурманская область;город;68.1432;33.25287;27369.0
г. Оленегорск;1989;МО Оленегорск;Мурманская область;город;68.1432;33.25287;36377.0
г. Оленегорск;2002;МО Оленегорск;Мурманская область;город;68.1432;33.25287;25166.0
г. Оленегорск;2010;МО Оленегорск;Мурманская область;город;68.1432;33.25287;23072.0
г. Оленегорск;2021;МО Оленегорск;Мурманская область;город;68.1432;33.25287;21438.0
г. Онега;1939;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;15783.0
г. Онега;1959;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;21306.0
г. Онега;1970;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;25047.0
г. Онега;1979;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;24986.0
г. Онега;1989;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;25748.0
г. Онега;2002;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;23430.0
г. Онега;2010;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;21359.0
г. Онега;2021;МР Онежский;Архангельская область (без НАО);город;63.919;38.08355;16947.0
г. Островной;2002;ЗАТО Островной;Мурманская область;город;68.05306;39.51306;5032.0
г. Островной;2010;ЗАТО Островной;Мурманская область;город;68.05306;39.51306;2171.0
г. Островной;2021;ЗАТО Островной;Мурманская область;город;68.05306;39.51306;1487.0
г. Певек;1970;ГО Певек;Чукотский АО;город;69.70287;170.29993;10528.0
г. Певек;1979;ГО Певек;Чукотский АО;город;69.70287;170.29993;11060.0
г. Певек;1989;ГО Певек;Чукотский АО;город;69.70287;170.29993;13299.0
г. Певек;2002;ГО Певек;Чукотский АО;город;69.70287;170.29993;5206.0
г. Певек;2010;ГО Певек;Чукотский АО;город;69.70287;170.29993;4162.0
