Название;Год;МО;Регион;Тип;Широта;Долгота;Численность населения
пгт Порт Владимир;1959;МР Кольский;Мурманская область;пгт;69.4152;33.11478;1718.0
пгт Приречный;1970;МР Печенгский;Мурманская область;пгт;69.01428;30.29068;1322.0
пгт Приречный;1979;МР Печенгский;Мурманская область;пгт;69.01428;30.29068;962.0
пгт Приречный;1989;МР Печенгский;Мурманская область;пгт;69.01428;30.29068;684.0
пгт Приречный;2002;МР Печенгский;Мурманская область;пгт;69.01428;30.29068;109.0
пгт Провидения;1959;ГО Провидения;Чукотский АО;пгт;64.42289;-173.22641;4840.0
пгт Провидения;1970;ГО Провидения;Чукотский АО;пгт;64.42289;-173.22641;6586.0
пгт Провидения;1979;ГО Провидения;Чукотский АО;пгт;64.42289;-173.22641;4643.0
пгт Провидения;1989;ГО Провидения;Чукотский АО;пгт;64.42289;-173.22641;5534.0
пгт Провидения;2002;ГО Провидения;Чукотский АО;пгт;64.42289;-173.22641;2723.0
пгт Провидения;2010;ГО Провидения;Чукотский АО;пгт;64.42289;-173.22641;1970.0
пгт Провидения;2021;ГО Провидения;Чукотский АО;пгт;64.42289;-173.22641;2140.0
пгт Промышленный;1959;ГО Воркута;Республика Коми;пгт;67.58333;63.91667;20405.0
пгт Промышленный;1970;ГО Воркута;Республика Коми;пгт;67.58333;63.91667;13012.0
пгт Промышленный;1979;ГО Воркута;Республика Коми;пгт;67.58333;63.91667;10313.0
пгт Промышленный;1989;ГО Воркута;Республика Коми;пгт;67.58333;63.91667;8648.0
пгт Промышленный;2002;ГО Воркута;Республика Коми;пгт;67.58333;63.91667;1170.0
пгт Промышленный;2010;ГО Воркута;Республика Коми;пгт;67.58333;63.91667;0.0
пгт Промышленный;2021;ГО Воркута;Республика Коми;пгт;67.58333;63.91667;0.0
пгт Пяозерский;1979;МР Лоухский;Республика Карелия;пгт;65.7687;31.08925;2660.0
пгт Пяозерский;1989;МР Лоухский;Республика Карелия;пгт;65.7687;31.08925;2640.0
пгт Пяозерский;2002;МР Лоухский;Республика Карелия;пгт;65.7687;31.08925;2603.0
пгт Пяозерский;2010;МР Лоухский;Республика Карелия;пгт;65.7687;31.08925;2098.0
пгт Пяозерский;2021;МР Лоухский;Республика Карелия;пгт;65.7687;31.08925;1578.0
пгт Рабочеостровск;1939;МР Кемский;Республика Карелия;пгт;64.98507;34.77587;4120.0
пгт Рабочеостровск;1959;МР Кемский;Республика Карелия;пгт;64.98507;34.77587;3596.0
пгт Рабочеостровск;1970;МР Кемский;Республика Карелия;пгт;64.98507;34.77587;3618.0
пгт Рабочеостровск;1979;МР Кемский;Республика Карелия;пгт;64.98507;34.77587;3414.0
пгт Рабочеостровск;1989;МР Кемский;Республика Карелия;пгт;64.98507;34.77587;3175.0
пгт Ревда;1959;МР Ловозерский;Мурманская область;пгт;67.9371;34.56149;4650.0
пгт Ревда;1970;МР Ловозерский;Мурманская область;пгт;67.9371;34.56149;4524.0
пгт Ревда;1979;МР Ловозерский;Мурманская область;пгт;67.9371;34.56149;8663.0
пгт Ревда;1989;МР Ловозерский;Мурманская область;пгт;67.9371;34.56149;14249.0
пгт Ревда;2002;МР Ловозерский;Мурманская область;пгт;67.9371;34.56149;10368.0
пгт Ревда;2010;МР Ловозерский;Мурманская область;пгт;67.9371;34.56149;8414.0
пгт Ревда;2021;МР Ловозерский;Мурманская область;пгт;67.9371;34.56149;6394.0
пгт Росляково;1959;ГО Мурманск;Мурманская область;пгт;69.04303;33.19906;4118.0
пгт Росляково;1970;ГО Мурманск;Мурманская область;пгт;69.04303;33.19906;5502.0
пгт Росляково;1979;ГО Мурманск;Мурманская область;пгт;69.04303;33.19906;7633.0
пгт Росляково;1989;ГО Мурманск;Мурманская область;пгт;69.04303;33.19906;12363.0
пгт Росляково;2002;ГО Мурманск;Мурманская область;пгт;69.04303;33.19906;9458.0
пгт Росляково;2010;ГО Мурманск;Мурманская область;пгт;69.04303;33.19906;8696.0
пгт Сайда-Губа;1939;ЗАТО Александровск;Мурманская область;пгт;69.24189;33.22857;7736.0
пгт Сайда-Губа;1959;ЗАТО Александровск;Мурманская область;пгт;69.24189;33.22857;914.0
пгт Сайда-Губа;1970;ЗАТО Александровск;Мурманская область;пгт;69.24189;33.22857;225.0
пгт Сайда-Губа;1979;ЗАТО Александровск;Мурманская область;пгт;69.24189;33.22857;168.0
пгт Сафоново;1970;ЗАТО Североморск;Мурманская область;пгт;69.06043;33.29523;4738.0
пгт Сафоново;1979;ЗАТО Североморск;Мурманская область;пгт;69.06043;33.29523;6033.0
пгт Сафоново;1989;ЗАТО Североморск;Мурманская область;пгт;69.06043;33.29523;8006.0
пгт Сафоново;2002;ЗАТО Североморск;Мурманская область;пгт;69.06043;33.29523;4853.0
пгт Сафоново;2010;ЗАТО Североморск;Мурманская область;пгт;69.06043;33.29523;5255.0
пгт Сафоново;2021;ЗАТО Североморск;Мурманская область;пгт;69.06043;33.29523;4305.0
пгт Светлогорск;1979;МР Туруханский;Красноярский край;пгт;66.93762;88.35265;3101.0
пгт Светлогорск;1989;МР Туруханский;Красноярский край;пгт;66.93762;88.35265;7039.0
пгт Светлогорск;2002;МР Туруханский;Красноярский край;пгт;66.93762;88.35265;1420.0
пгт Светлогорск;2010;МР Туруханский;Красноярский край;пгт;66.93762;88.35265;1014.0
пгт Северный;1959;ГО Воркута;Республика Коми;пгт;67.63333;64.1;15175.0
пгт Северный;1970;ГО Воркута;Республика Коми;пгт;67.63333;64.1;15289.0
пгт Северный;1979;ГО Воркута;Республика Коми;пгт;67.63333;64.1;17172.0
пгт Северный;1989;ГО Воркута;Республика Коми;пгт;67.63333;64.1;20862.0
пгт Северный;1989;МР Усть-Янский;Республика Саха (Якутия);пгт;70.56957;134.98472;4094.0
пгт Северный;2002;ГО Воркута;Республика Коми;пгт;67.63333;64.1;12028.0
пгт Северный;2002;МР Усть-Янский;Республика Саха (Якутия);пгт;70.56957;134.98472;77.0
пгт Северный;2010;ГО Воркута;Республика Коми;пгт;67.63333;64.1;9023.0
пгт Северный;2021;ГО Воркута;Республика Коми;пгт;67.63333;64.1;3660.0
пгт Сегежа;1939;МР Сегежский;Республика Карелия;пгт;63.74147;34.32218;4845.0
пгт Серебрянский;1970;МР Кольский;Мурманская область;пгт;68.82917;35.54205;4119.0
пгт Сивомаскинский;1959;ГО Воркута;Республика Коми;пгт;66.66667;62.58333;3533.0
пгт Сивомаскинский;1970;ГО Воркута;Республика Коми;пгт;66.66667;62.58333;2639.0
пгт Сивомаскинский;1979;ГО Воркута;Республика Коми;пгт;66.66667;62.58333;2197.0
пгт Сивомаскинский;1989;ГО Воркута;Республика Коми;пгт;66.66667;62.58333;2167.0
пгт Снежногорск;1970;ГО Норильск;Красноярский край;пгт;68.09306;87.74;9685.0
пгт Снежногорск;1979;ГО Норильск;Красноярский край;пгт;68.09306;87.74;2852.0
пгт Снежногорск;1989;ГО Норильск;Красноярский край;пгт;68.09306;87.74;2312.0
пгт Снежногорск;2002;ГО Норильск;Красноярский край;пгт;68.09306;87.74;1306.0
пгт Снежногорск;2010;ГО Норильск;Красноярский край;пгт;68.09306;87.74;887.0
пгт Снежногорск;2021;ГО Норильск;Красноярский край;пгт;68.09306;87.74;784.0
пгт Советский;1970;ГО Воркута;Республика Коми;пгт;67.48333;64.41667;5773.0
пгт Советский;1979;ГО Воркута;Республика Коми;пгт;67.48333;64.41667;5781.0
пгт Советский;1989;ГО Воркута;Республика Коми;пгт;67.48333;64.41667;5941.0
пгт Советский;2002;ГО Воркута;Республика Коми;пгт;67.48333;64.41667;2540.0
пгт Сосновец;1959;МР Беломорский;Республика Карелия;пгт;64.42734;34.47132;3319.0
пгт Сосновец;1970;МР Беломорский;Республика Карелия;пгт;64.42734;34.47132;3064.0
пгт Сосновец;1979;МР Беломорский;Республика Карелия;пгт;64.42734;34.47132;2955.0
пгт Сосновец;1989;МР Беломорский;Республика Карелия;пгт;64.42734;34.47132;2657.0
пгт Старый Надым;1989;МО Надымский;Ямало-Ненецкий АО;пгт;65.61182;72.68417;7001.0
пгт Старый Надым;2002;МО Надымский;Ямало-Ненецкий АО;пгт;65.61182;72.68417;2758.0
пгт Сумское;1939;МР Сегежский;Республика Карелия;пгт;64.0374;34.1117;2055.0
пгт Тазовский;1970;МО Тазовский;Ямало-Ненецкий АО;пгт;67.4715;78.7162;3128.0
пгт Тазовский;1979;МО Тазовский;Ямало-Ненецкий АО;пгт;67.4715;78.7162;4832.0
пгт Тазовский;1989;МО Тазовский;Ямало-Ненецкий АО;пгт;67.4715;78.7162;6827.0
пгт Тазовский;2002;МО Тазовский;Ямало-Ненецкий АО;пгт;67.4715;78.7162;5965.0
пгт Тазовский;2010;МО Тазовский;Ямало-Ненецкий АО;пгт;67.4715;78.7162;6793.0
пгт Талнах;1970;ГО Норильск;Красноярский край;пгт;69.4865;88.3972;9286.0
пгт Талнах;1979;ГО Норильск;Красноярский край;пгт;69.4865;88.3972;33410.0
пгт Тарко-Сале;1979;МО Пуровский;Ямало-Ненецкий АО;пгт;64.91611;77.77457;6216.0
пгт Тарко-Сале;1989;МО Пуровский;Ямало-Ненецкий АО;пгт;64.91611;77.77457;17308.0
пгт Тарко-Сале;2002;МО Пуровский;Ямало-Ненецкий АО;пгт;64.91611;77.77457;18517.0
пгт Тенкели;1979;МР Усть-Янский;Республика Саха (Якутия);пгт;70.18315;140.75788;1607.0
пгт Тенкели;1989;МР Усть-Янский;Республика Саха (Якутия);пгт;70.18315;140.75788;3017.0
пгт Териберка;1939;МР Кольский;Мурманская область;пгт;69.16088;35.14527;2802.0
пгт Териберка;1959;МР Кольский;Мурманская область;пгт;69.16088;35.14527;4762.0
пгт Териберка;1970;МР Кольский;Мурманская область;пгт;69.16088;35.14527;3150.0
пгт Териберка;1979;МР Кольский;Мурманская область;пгт;69.16088;35.14527;2479.0
пгт Териберка;1989;МР Кольский;Мурманская область;пгт;69.16088;35.14527;2387.0
пгт Тикси;1939;МР Булунский;Республика Саха (Якутия);пгт;71.69002;128.86467;697.0
пгт Тикси;1959;МР Булунский;Республика Саха (Якутия);пгт;71.69002;128.86467;4833.0
пгт Тикси;1970;МР Булунский;Республика Саха (Якутия);пгт;71.69002;128.86467;8099.0
пгт Тикси;1979;МР Булунский;Республика Саха (Якутия);пгт;71.69002;128.86467;9505.0
пгт Тикси;1989;МР Булунский;Республика Саха (Якутия);пгт;71.69002;128.86467;11940.0
пгт Тикси;2002;МР Булунский;Республика Саха (Якутия);пгт;71.69002;128.86467;5873.0
пгт Тикси;2010;МР Булунский;Республика Саха (Якутия);пгт;71.69002;128.86467;5063.0
пгт Тикси;2021;МР Булунский;Республика Саха (Якутия);пгт;71.69002;128.86467;4173.0
пгт Туманный;1979;МР Кольский;Мурманская область;пгт;68.88472;35.69444;2647.0
пгт Туманный;1989;МР Кольский;Мурманская область;пгт;68.88472;35.69444;1997.0
пгт Туманный;2002;МР Кольский;Мурманская область;пгт;68.88472;35.69444;950.0
пгт Туманный;2010;МР Кольский;Мурманская область;пгт;68.88472;35.69444;685.0
пгт Туманный;2021;МР Кольский;Мурманская область;пгт;68.88472;35.69444;404.0
пгт Тура;1939;МР Эвенкийский;Красноярский край;пгт;64.27769;100.21849;1573.0
пгт Тура;1959;МР Эвенкийский;Красноярский край;пгт;64.27769;100.21849;2039.0
пгт Тура;1970;МР Эвенкийский;Красноярский край;пгт;64.27769;100.21849;3528.0
пгт Тура;1979;МР Эвенкийский;Красноярский край;пгт;64.27769;100.21849;5507.0
пгт Тура;1989;МР Эвенкийский;Красноярский край;пгт;64.27769;100.21849;7686.0
пгт Тура;2002;МР Эвенкийский;Красноярский край;пгт;64.27769;100.21849;5836.0
пгт Тура;2010;МР Эвенкийский;Красноярский край;пгт;64.27769;100.21849;5535.0
пгт Тюва-Губа;1959;МР Кольский;Мурманская область;пгт;69.187;33.63072;918.0
пгт Тюва-Губа;1970;МР Кольский;Мурманская область;пгт;69.187;33.63072;261.0
пгт Угольные Копи;1970;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;5940.0
пгт Угольные Копи;1979;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;9929.0
пгт Угольные Копи;1989;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;12937.0
пгт Угольные Копи;2002;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;3863.0
пгт Угольные Копи;2010;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;3368.0
пгт Угольные Копи;2021;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;3232.0
пгт Угольный;1959;ГО Норильск;Красноярский край;пгт;69.3535;88.2027;3942.0
пгт Уемский;1959;МР Приморский;Архангельская область (без НАО);пгт;64.4743;40.8524;3907.0
пгт Уемский;1970;МР Приморский;Архангельская область (без НАО);пгт;64.4743;40.8524;3366.0
пгт Уемский;1979;МР Приморский;Архангельская область (без НАО);пгт;64.4743;40.8524;4905.0
пгт Уемский;1989;МР Приморский;Архангельская область (без НАО);пгт;64.4743;40.8524;4241.0
пгт Уемский;2002;МР Приморский;Архангельская область (без НАО);пгт;64.4743;40.8524;3735.0
пгт Умба;1939;МР Терский;Мурманская область;пгт;66.68706;34.34291;5196.0
пгт Умба;1959;МР Терский;Мурманская область;пгт;66.68706;34.34291;8950.0
пгт Умба;1970;МР Терский;Мурманская область;пгт;66.68706;34.34291;7268.0
пгт Умба;1979;МР Терский;Мурманская область;пгт;66.68706;34.34291;7699.0
пгт Умба;1989;МР Терский;Мурманская область;пгт;66.68706;34.34291;8443.0
пгт Умба;2002;МР Терский;Мурманская область;пгт;66.68706;34.34291;6497.0
пгт Умба;2010;МР Терский;Мурманская область;пгт;66.68706;34.34291;5532.0
пгт Умба;2021;МР Терский;Мурманская область;пгт;66.68706;34.34291;4121.0
пгт Уренгой;1989;МО Пуровский;Ямало-Ненецкий АО;пгт;65.9655;78.36929;12089.0
пгт Уренгой;2002;МО Пуровский;Ямало-Ненецкий АО;пгт;65.9655;78.36929;9329.0
пгт Уренгой;2010;МО Пуровский;Ямало-Ненецкий АО;пгт;65.9655;78.36929;10066.0
пгт Уренгой;2021;МО Пуровский;Ямало-Ненецкий АО;пгт;65.9655;78.36929;5845.0
пгт Усинск;1979;ГО Усинск;Республика Коми;пгт;65.99389;57.52806;19513.0
пгт Усть-Куйга;1970;МР Усть-Янский;Республика Саха (Якутия);пгт;70.00208;135.54876;1825.0
пгт Усть-Куйга;1979;МР Усть-Янский;Республика Саха (Якутия);пгт;70.00208;135.54876;2700.0
пгт Усть-Куйга;1989;МР Усть-Янский;Республика Саха (Якутия);пгт;70.00208;135.54876;5348.0
пгт Усть-Куйга;2002;МР Усть-Янский;Республика Саха (Якутия);пгт;70.00208;135.54876;1568.0
пгт Усть-Куйга;2010;МР Усть-Янский;Республика Саха (Якутия);пгт;70.00208;135.54876;979.0
пгт Усть-Куйга;2021;МР Усть-Янский;Республика Саха (Якутия);пгт;70.00208;135.54876;668.0
пгт Хальмер-Ю;1959;ГО Воркута;Республика Коми;пгт;67.96667;64.83333;7122.0
пгт Хальмер-Ю;1970;ГО Воркута;Республика Коми;пгт;67.96667;64.83333;4509.0
пгт Хальмер-Ю;1979;ГО Воркута;Республика Коми;пгт;67.96667;64.83333;4328.0
пгт Хальмер-Ю;1989;ГО Воркута;Республика Коми;пгт;67.96667;64.83333;4484.0
пгт Хановей;1959;ГО Воркута;Республика Коми;пгт;67.3;63.61667;3134.0
пгт Харп;1989;ГО Лабытнанги;Ямало-Ненецкий АО;пгт;66.80139;65.80806;5508.0
пгт Харп;2002;ГО Лабытнанги;Ямало-Ненецкий АО;пгт;66.80139;65.80806;7278.0
пгт Харп;2010;ГО Лабытнанги;Ямало-Ненецкий АО;пгт;66.80139;65.80806;6413.0
пгт Харп;2021;ГО Лабытнанги;Ямало-Ненецкий АО;пгт;66.80139;65.80806;5031.0
пгт Хетоламбина;1959;МР Лоухский;Республика Карелия;пгт;66.35778;33.27917;1901.0
пгт Цементнозаводский;1959;ГО Воркута;Республика Коми;пгт;67.62834;64.08965;1531.0
пгт Цементнозаводский;1970;ГО Воркута;Республика Коми;пгт;67.62834;64.08965;3077.0
пгт Цементнозаводский;1979;ГО Воркута;Республика Коми;пгт;67.62834;64.08965;3740.0
пгт Цементнозаводский;1989;ГО Воркута;Республика Коми;пгт;67.62834;64.08965;4303.0
пгт Цементнозаводский;2002;ГО Воркута;Республика Коми;пгт;67.62834;64.08965;2246.0
пгт Черный Порог;1979;МР Сегежский;Республика Карелия;пгт;63.99554;33.66726;1351.0
пгт Черный Порог;1989;МР Сегежский;Республика Карелия;пгт;63.99554;33.66726;1127.0
пгт Черский;1970;МР Нижнеколымский;Республика Саха (Якутия);пгт;68.75325;161.33197;9460.0
пгт Черский;1979;МР Нижнеколымский;Республика Саха (Якутия);пгт;68.75325;161.33197;9726.0
пгт Черский;1989;МР Нижнеколымский;Республика Саха (Якутия);пгт;68.75325;161.33197;11456.0
пгт Черский;2002;МР Нижнеколымский;Республика Саха (Якутия);пгт;68.75325;161.33197;3832.0
пгт Черский;2010;МР Нижнеколымский;Республика Саха (Якутия);пгт;68.75325;161.33197;2857.0
пгт Черский;2021;МР Нижнеколымский;Республика Саха (Якутия);пгт;68.75325;161.33197;2623.0
пгт Чкаловский;1970;МР Лоухский;Республика Карелия;пгт;66.29829;33.39741;485.0
пгт Чкаловский;1979;МР Лоухский;Республика Карелия;пгт;66.29829;33.39741;397.0
пгт Чкаловский;1989;МР Лоухский;Республика Карелия;пгт;66.29829;33.39741;304.0
пгт Чокурдах;1989;МР Аллаиховский;Республика Саха (Якутия);пгт;70.61897;147.8973;3913.0
пгт Чокурдах;2002;МР Аллаиховский;Республика Саха (Якутия);пгт;70.61897;147.8973;2591.0
пгт Чокурдах;2010;МР Аллаиховский;Республика Саха (Якутия);пгт;70.61897;147.8973;2367.0
пгт Чокурдах;2021;МР Аллаиховский;Республика Саха (Якутия);пгт;70.61897;147.8973;1869.0
пгт Чупа;1959;МР Лоухский;Республика Карелия;пгт;66.27001;33.05486;4095.0
пгт Чупа;1970;МР Лоухский;Республика Карелия;пгт;66.27001;33.05486;4561.0
пгт Чупа;1979;МР Лоухский;Республика Карелия;пгт;66.27001;33.05486;4904.0
пгт Чупа;1989;МР Лоухский;Республика Карелия;пгт;66.27001;33.05486;5160.0
пгт Чупа;2002;МР Лоухский;Республика Карелия;пгт;66.27001;33.05486;4061.0
пгт Чупа;2010;МР Лоухский;Республика Карелия;пгт;66.27001;33.05486;2924.0
пгт Чупа;2021;МР Лоухский;Республика Карелия;пгт;66.27001;33.05486;2074.0
пгт Шахтерский;1970;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;1992.0
пгт Шахтерский;1979;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;2875.0
пгт Шахтерский;1989;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;3149.0
пгт Шахтерский;2002;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948;328.0
пгт Шонгуй;1959;МР Кольский;Мурманская область;пгт;68.75261;33.14595;1889.0
пгт Шонгуй;1970;МР Кольский;Мурманская область;пгт;68.75261;33.14595;1607.0
пгт Шонгуй;1979;МР Кольский;Мурманская область;пгт;68.75261;33.14595;1743.0
пгт Шонгуй;1989;МР Кольский;Мурманская область;пгт;68.75261;33.14595;1818.0
пгт Шонгуй;2002;МР Кольский;Мурманская область;пгт;68.75261;33.14595;1189.0
пгт Эгвекинот;1959;ГО Эгвекинот;Чукотский АО;пгт;66.32166;-179.12198;3015.0
пгт Эгвекинот;1970;ГО Эгвекинот;Чукотский АО;пгт;66.32166;-179.12198;3360.0
пгт Эгвекинот;1979;ГО Эгвекинот;Чукотский АО;пгт;66.32166;-179.12198;4657.0
пгт Эгвекинот;1989;ГО Эгвекинот;Чукотский АО;пгт;66.32166;-179.12198;5545.0
пгт Эгвекинот;2002;ГО Эгвекинот;Чукотский АО;пгт;66.32166;-179.12198;2413.0
пгт Эгвекинот;2010;ГО Эгвекинот;Чукотский АО;пгт;66.32166;-179.12198;2790.0
пгт Эгвекинот;2021;ГО Эгвекинот;Чукотский АО;пгт;66.32166;-179.12198;3113.0
пгт Эсэ-Хайя;1959;МР Верхоянский;Республика Саха (Якутия);пгт;67.5428;134.6745;3184.0
пгт Эсэ-Хайя;1970;МР Верхоянский;Республика Саха (Якутия);пгт;67.5428;134.6745;2867.0
пгт Эсэ-Хайя;1979;МР Верхоянский;Республика Саха (Якутия);пгт;67.5428;134.6745;1347.0
пгт Эсэ-Хайя;1989;МР Верхоянский;Республика Саха (Якутия);пгт;67.5428;134.6745;1449.0
пгт Эсэ-Хайя;2002;МР Верхоянский;Республика Саха (Якутия);пгт;67.5428;134.6745;343.0
пгт Эсэ-Хайя;2010;МР Верхоянский;Республика Саха (Якутия);пгт;67.5428;134.6745;239.0
пгт Эсэ-Хайя;2021;МР Верхоянский;Республика Саха (Якутия);пгт;67.5428;134.6745;153.0
пгт Юма;1959;МР Кемский;Республика Карелия;пгт;65.07208;33.26179;989.0
пгт Юма;1970;МР Кемский;Республика Карелия;пгт;65.07208;33.26179;773.0
пгт Юма;1979;МР Кемский;Республика Карелия;пгт;65.07208;33.26179;474.0
пгт Янский;1959;МР Усть-Янский;Республика Саха (Якутия);пгт;68.45237;134.8107;1117.0
